0	Indeterminate	Indeterminate
400	1.0708130371606592	1.0708124396203307
800	1.0708103967017313	1.0708098870436764
1200	1.0708059959669174	1.0708056327500381
1600	1.0707998350015828	1.0707996767408408
2000	1.0707919138697837	1.0707920190185902
2400	1.0707822326547043	1.070782659587276
2800	1.070770791459405	1.070771598453074
3200	1.0707575904076265	1.0707588356251
3600	1.070742629644694	1.0707443711162472
4000	1.0707259093386539	1.0707282049442592
4400	1.0707074296815573	1.0707103371329212
4800	1.0706871908907523	1.0706907677132782
5200	1.0706651932104982	1.0706694967251356
5600	1.0706414369136004	1.0706465242186014
6000	1.0706159223032123	1.0706218502557758
6400	1.0705886497148154	1.070595474912604
6800	1.0705596195182256	1.070567398280769
7200	1.0705288321198776	1.070537620469829
7600	1.0704962879651174	1.0705061416093875
8000	1.0704619875406773	1.0704729618514115
8400	1.0704259313772924	1.070438081372724
8800	1.0703881200523813	1.0704015003774994
9200	1.0703485541929043	1.0703632191000076
9600	1.0703072344783189	1.0703232378073808
10000	1.0702641616436153	1.0702815568025144
10400	1.070219336482556	1.0702381764271212
10800	1.0701727598508706	1.0701930970647917
11200	1.0701244326697794	1.0701463191443414
11600	1.0700743559293442	1.0700978431430077
12000	1.0700225306921924	1.0700476695900145
12400	1.0699689580970881	1.0699957990699873
12800	1.0699136393628057	1.0699422322266672
13200	1.0698565757919545	1.0698869697666036
13600	1.0697977687749423	1.069830012462955
14000	1.0697372197940125	1.0697713611593944
14400	1.0696749304273434	1.0697110167740786
14800	1.0696109023532159	1.069648980303681
15200	1.0695451373543228	1.0695852528275835
15600	1.0694776373220092	1.0695198355120168
16000	1.06940840426073	1.0694527296144
16400	1.0693374402923947	1.069383936487606
16800	1.0692647476609427	1.0693134575844498
17200	1.0691903287367757	1.0692412944620586
17600	1.069114186021449	1.0691674487864933
18000	1.069036322152199	1.0690919223372428
18400	1.0689567399065987	1.0690147170118507
18800	1.068875442207305	1.0689358348306321
19200	1.0687924321267062	1.0688552779413367
19600	1.0687077128916591	1.0687730486238893
20000	1.0686212878882617	1.0686891492951966
20400	1.068533160666574	1.0686035825139257
20800	1.0684433349454077	1.068516350985339
21200	1.068351814617117	1.0684274575661994
21600	1.0682586037523207	1.068336905269561
22000	1.0681637066046836	1.068244697269705
22400	1.068067127615731	1.068150836907083
22800	1.067968871419472	1.0680553276930964
23200	1.0678689428472508	1.0679581733151573
23600	1.0677673469323397	1.067859377641456
24000	1.0676640889146891	1.0677589447259679
24400	1.067559174245541	1.0676568788132956
24800	1.0674526085920046	1.067553184343542
25200	1.0673443978416908	1.0674478659572169
25600	1.0672345481071672	1.0673409285000246
26000	1.0671230657304605	1.0672323770277166
26400	1.0670099572875134	1.067122216810896
26800	1.0668952295924714	1.0670104533397184
27200	1.0667788897020478	1.066897092328657
27600	1.0666609449197355	1.0667821397211685
28000	1.06654140280001	1.0666656016943452
28400	1.0664202711523638	1.0665474846634513
28800	1.0662975580454217	1.0664277952865486
29200	1.066173271810787	1.0663065404688765
29600	1.0660474210469713	1.0661837273673558
30000	1.0659200146231307	1.0660593633949083
30400	1.065791061682769	1.065933456224761
30800	1.0656605716473067	1.0658060137946685
31200	1.0655285542195847	1.0656770443110652
31600	1.0653950193872415	1.065546556253127
32000	1.0652599774260254	1.0654145583768015
32400	1.0651234389029307	1.0652810597186622
32800	1.0649854146793307	1.0651460695997963
33200	1.0648459159138495	1.0650095976294585
33600	1.0647049540652893	1.064871653708782
34000	1.0645625408952977	1.0647322480342913
34400	1.0644186884710092	1.0645913911013516
34800	1.064273409167465	1.0644490937074655
35200	1.0641267156700367	1.06430536695558
35600	1.0639786209766022	1.0641602222571565
36000	1.0638291383996594	1.0640136713351926
36400	1.063678281568276	1.0638657262271345
36800	1.0635260644299238	1.0637163992876313
37200	1.0633725012521786	1.0635657031912413
37600	1.0632176066242418	1.0634136509349001
38000	1.063061395458375	1.0632602558403863
38400	1.0629038829911615	1.06310553155659
38800	1.0627450847846198	1.0629494920616516
39200	1.0625850167272104	1.062792151665006
39600	1.0624236950346364	1.0626335250092556
40000	1.0622611362505445	1.0624736270719037
40400	1.062097357247063	1.0623124731669895
40800	1.061932375225174	1.0621500789465457
41200	1.0617662077149739	1.061986460401927
41600	1.0615988725757144	1.0618216338649702
42000	1.0614303879957812	1.0616556160090638
42400	1.0612607724924206	1.0614884238499895
42800	1.061090044911405	1.0613200747466938
43200	1.0609182244264768	1.0611505864018527
43600	1.0607453305386525	1.0609799768622914
44000	1.0605713830754186	1.0608082645192918
44400	1.0603964021896797	1.0606354681086667
44800	1.0602204083586588	1.0604616067107602
45200	1.0600434223825435	1.0602866997502358
45600	1.0598654653830415	1.0601107669957108
46000	1.0596865588017716	1.0599338285592668
46400	1.059506724398458	1.0597559048957348
46800	1.0593259842490301	1.0595770168019014
47200	1.0591443607435167	1.0593971854154736
47600	1.0589618765838154	1.0592164322139173
48000	1.0587785547813027	1.0590347790131562
48400	1.0585944186542857	1.0588522479660383
48800	1.058409491825303	1.058668861560719
49200	1.0582237982182905	1.0584846426188135
49600	1.0580373620555612	1.0582996142934216
50000	1.057850207854676	1.0581138000669705
50400	1.0576623604251496	1.0579272237489044
50800	1.0574738448649923	1.0577399094731934
51200	1.0572846865571366	1.0575518816957075
51600	1.0570949111657018	1.0573631651913753
52000	1.056904544632115	1.0571737850512402
52400	1.056713613171097	1.0569837666792987
52800	1.0565221432665064	1.0567931357892122
53200	1.0563301616670404	1.056601918400832
53600	1.0561376953818005	1.0564101408365891
54000	1.055944771675734	1.0562178297176783
54400	1.0557514180649197	1.0560250119601435
54800	1.0555576623117426	1.0558317147707401
55200	1.055363532419927	1.055637965642685
55600	1.0551690566294425	1.0554437923512343
56000	1.0549742634112955	1.0552492229490864
56400	1.05477918146218	1.0550542857616645
56800	1.0545838396990144	1.0548590093822194
57200	1.0543882672533587	1.0546634226667864
57600	1.0541924934657143	1.0544675547289932
58000	1.0539965478797095	1.0542714349347224
58400	1.0538004602361704	1.0540750928966185
58800	1.0536042604670681	1.0538785584684478
59200	1.053407978689393	1.0536818617393298
59600	1.053211645198877	1.053485033027801
60000	1.053015290463651	1.0532881028757632
60400	1.0528189451177716	1.0530911020422715
60800	1.0526226399546772	1.0528940614972009
61200	1.052426405920514	1.0526970124147734
61600	1.0522302741074139	1.0524999861669533
62000	1.052034275746633	1.0523030143167165
62400	1.0518384422016247	1.0521061286111675
62800	1.051642804961055	1.0519093609745858
63200	1.05144739563167	1.0517127435012856
63600	1.0512522459311304	1.051516308448386
64000	1.0510573876807714	1.0513200882284823
64400	1.0508628527982684	1.0511241154021715
64800	1.0506686732902248	1.0509284226704663
65200	1.0504748812447073	1.0507330428671082
65600	1.050281508823728	1.0505380089508023
66000	1.0500885882556148	1.0503433539972804
66400	1.0498961518273882	1.050149111191344
66800	1.0497042318770067	1.0499553138187272
67200	1.0495128607856063	1.0497619952579216
67600	1.049322070969709	1.04956918897192
68000	1.0491318948732833	1.049376928499778
68400	1.048942364959908	1.049185247448236
68800	1.0487535137047308	1.048994179483111
69200	1.0485653735865366	1.0488037583207268
69600	1.0483779770796369	1.0486140177191667
70000	1.0481913566458636	1.04842499146955
70400	1.0480055447264096	1.0482367133871606
70800	1.0478205737337645	1.0480492173025926
71200	1.0476364760434673	1.047862537052716
71600	1.047453283985998	1.0476767064716876
72000	1.0472710298385557	1.047491759381887
72400	1.0470897458168242	1.0473077295847433
72800	1.0469094640667922	1.0471246508516012
73200	1.0467302166564447	1.0469425569144433
73600	1.0465520355676072	1.0467614814566915
74000	1.0463749526875823	1.0465814581038198
74400	1.046198999801012	1.0464025204140943
74800	1.0460242085815514	1.0462247018691697
